0	177
1	20
2	25
3	26
4	22
5	18
6	25
7	22
8	19
9	32
10	26
11	32
12	20
13	26
14	29
15	25
16	30
17	27
18	28
19	23
20	28
21	22
22	29
23	21
24	28
25	28
26	22
27	24
28	24
29	28
30	19
31	20
32	23
33	31
34	18
35	26
36	22
37	27
38	18
39	21
40	16
41	23
42	25
43	26
44	21
45	25
46	33
47	17
48	27
49	16
50	26
51	21
52	25
53	27
54	25
55	21
56	33
57	33
58	29
59	17
60	24
61	28
62	26
63	28
64	28
65	26
66	27
67	23
68	17
69	24
70	25
71	26
72	29
73	20
74	21
75	30
76	18
77	21
78	17
79	23
80	20
81	19
82	28
83	21
84	30
85	20
86	27
87	22
88	20
89	31
90	30
91	24
92	22
93	23
94	25
95	27
96	28
97	28
98	18
99	21
100	22
101	23
102	31
103	27
104	20
105	26
106	18
107	35
108	21
109	21
110	22
111	24
112	25
113	23
114	19
115	22
116	23
117	20
118	32
119	24
120	28
121	25
122	21
123	21
124	23
125	25
126	27
127	27
128	22
129	24
130	19
131	23
132	32
133	29
134	26
135	14
136	29
137	26
138	25
139	23
140	27
141	23
142	19
143	16
144	22
145	31
146	25
147	19
148	25
149	26
150	21
151	14
152	33
153	19
154	22
155	18
156	20
157	21
158	25
159	25
160	30
161	24
162	26
163	17
164	39
165	27
166	21
167	22
168	22
169	27
170	23
171	24
172	31
173	27
174	27
175	30
176	24
177	22
178	29
179	34
180	21
181	27
182	20
183	27
184	37
185	24
186	16
187	30
188	26
189	28
190	28
191	30
192	28
193	26
194	25
195	24
196	24
197	23
198	29
199	21
200	29
201	31
202	24
203	26
204	31
205	30
206	21
207	24
208	19
209	25
210	24
211	23
212	28
213	29
214	31
215	26
216	21
217	21
218	23
219	25
220	24
221	28
222	24
223	25
224	15
225	26
226	27
227	24
228	22
229	27
230	35
231	33
232	25
233	26
234	17
235	19
236	23
237	32
238	23
239	19
240	27
241	39
242	25
243	25
244	27
245	25
246	30
247	32
248	27
249	17
250	27
251	23
252	25
253	25
254	26
255	23
