0	153
1	18
2	23
3	32
4	18
5	27
6	28
7	27
8	16
9	27
10	28
11	25
12	27
13	25
14	18
15	22
16	21
17	17
18	24
19	31
20	24
21	20
22	22
23	28
24	19
25	18
26	30
27	26
28	23
29	22
30	29
31	26
32	27
33	25
34	27
35	28
36	31
37	24
38	30
39	26
40	18
41	29
42	24
43	19
44	15
45	23
46	20
47	20
48	22
49	18
50	25
51	22
52	24
53	27
54	20
55	29
56	25
57	20
58	27
59	23
60	15
61	23
62	24
63	22
64	20
65	21
66	31
67	21
68	17
69	22
70	27
71	26
72	27
73	24
74	20
75	27
76	24
77	18
78	27
79	16
80	22
81	15
82	23
83	29
84	27
85	13
86	31
87	21
88	21
89	28
90	28
91	30
92	20
93	26
94	21
95	22
96	24
97	23
98	22
99	28
100	22
101	18
102	26
103	25
104	15
105	19
106	37
107	27
108	27
109	20
110	23
111	23
112	29
113	20
114	27
115	22
116	27
117	19
118	19
119	29
120	28
121	17
122	25
123	19
124	24
125	28
126	28
127	17
128	18
129	20
130	22
131	23
132	23
133	27
134	22
135	21
136	24
137	21
138	26
139	29
140	29
141	27
142	15
143	17
144	29
145	21
146	25
147	19
148	20
149	25
150	17
151	27
152	35
153	24
154	28
155	30
156	23
157	24
158	21
159	33
160	19
161	26
162	16
163	31
164	20
165	31
166	30
167	26
168	24
169	24
170	20
171	27
172	19
173	20
174	19
175	23
176	23
177	32
178	29
179	17
180	22
181	14
182	25
183	16
184	26
185	16
186	23
187	29
188	31
189	20
190	23
191	22
192	22
193	26
194	23
195	20
196	30
197	24
198	30
199	18
200	20
201	21
202	23
203	24
204	20
205	22
206	21
207	25
208	15
209	23
210	22
211	24
212	23
213	20
214	27
215	22
216	26
217	25
218	28
219	24
220	20
221	24
222	24
223	19
224	14
225	21
226	22
227	16
228	27
229	25
230	19
231	23
232	20
233	25
234	21
235	22
236	29
237	27
238	27
239	21
240	27
241	24
242	26
243	21
244	16
245	25
246	23
247	24
248	28
249	24
250	18
251	18
252	21
253	21
254	25
255	27
